sl_no,gender,ssc_p,ssc_b,hsc_p,hsc_b,hsc_s,degree_p,degree_t,workex,etest_p,coding_score,communication_score,projects_count,certifications_count,status,salary
1,M,54.36,Central,56.2,Central,Science,67.6,Comm&Mgmt,No,78.52,63.5,48.0,2,2,Not Placed,
2,F,58.3,Central,59.68,Central,Science,61.19,Sci&Tech,No,90.32,75.0,93.7,2,2,Placed,479000.0
3,F,81.1,Central,72.55,Central,Science,66.58,Sci&Tech,No,81.31,88.8,69.6,3,2,Placed,538000.0
4,M,61.6,Others,68.94,Central,Commerce,62.21,Sci&Tech,No,55.46,65.1,76.4,1,2,Not Placed,
5,M,57.51,Others,70.79,Central,Science,62.74,Sci&Tech,No,86.12,45.7,72.5,4,2,Not Placed,
6,M,74.13,Others,72.28,Others,Commerce,66.72,Comm&Mgmt,No,61.52,80.7,67.9,3,2,Placed,602000.0
7,M,80.95,Central,73.85,Central,Commerce,61.86,Comm&Mgmt,No,68.89,63.1,66.2,3,1,Placed,514000.0
8,F,76.05,Central,78.98,Central,Science,65.49,Sci&Tech,No,76.5,55.3,77.0,2,4,Placed,369000.0
9,F,78.96,Others,71.43,Others,Science,53.6,Sci&Tech,Yes,97.45,63.3,54.8,3,2,Not Placed,
10,F,60.55,Central,64.39,Others,Science,69.4,Others,Yes,99.0,69.4,82.0,0,2,Placed,539000.0
11,M,53.57,Central,74.26,Central,Commerce,67.81,Sci&Tech,Yes,80.78,63.5,68.0,3,1,Placed,696000.0
12,F,84.26,Central,87.52,Others,Science,61.67,Sci&Tech,Yes,71.3,41.1,59.4,0,2,Not Placed,
13,F,65.11,Central,65.57,Others,Commerce,72.74,Sci&Tech,Yes,79.91,84.6,67.6,4,2,Placed,544000.0
14,M,65.87,Others,56.48,Central,Science,74.83,Comm&Mgmt,No,84.15,89.8,88.1,5,1,Placed,409000.0
15,M,82.45,Others,78.96,Others,Commerce,55.74,Comm&Mgmt,No,69.65,81.1,66.6,1,0,Placed,500000.0
16,M,74.34,Others,65.7,Others,Science,62.08,Sci&Tech,No,95.04,56.1,77.3,1,2,Placed,386000.0
17,M,73.29,Central,43.54,Central,Science,62.03,Sci&Tech,Yes,76.26,69.2,64.2,3,2,Placed,618000.0
18,M,91.23,Central,76.15,Central,Arts,60.75,Comm&Mgmt,Yes,79.47,71.9,82.1,1,1,Placed,394000.0
19,M,61.74,Central,61.22,Others,Commerce,74.02,Comm&Mgmt,No,81.49,80.4,81.2,3,1,Placed,382000.0
20,M,78.24,Central,66.02,Others,Science,66.35,Sci&Tech,Yes,78.56,81.4,95.2,1,2,Placed,429000.0
21,F,69.1,Central,70.59,Central,Commerce,65.82,Others,No,83.57,61.7,70.9,1,0,Placed,294000.0
22,M,71.32,Others,69.06,Central,Science,52.77,Sci&Tech,Yes,66.09,73.1,81.0,5,1,Placed,582000.0
23,M,84.55,Others,74.66,Central,Commerce,72.57,Sci&Tech,No,66.8,78.4,74.2,3,1,Placed,353000.0
24,M,73.83,Central,62.3,Others,Commerce,58.51,Others,No,60.3,92.4,88.6,3,1,Placed,521000.0
25,M,74.15,Others,72.54,Others,Science,68.25,Sci&Tech,No,78.77,81.9,64.4,2,1,Placed,337000.0
26,F,79.76,Others,64.2,Central,Science,69.88,Comm&Mgmt,No,82.85,83.0,81.9,3,1,Placed,482000.0
27,M,64.67,Others,74.98,Others,Science,78.0,Sci&Tech,No,78.99,73.2,70.7,2,0,Placed,585000.0
28,M,59.69,Others,73.65,Others,Science,57.98,Sci&Tech,No,93.59,91.7,72.2,2,1,Placed,523000.0
29,M,57.53,Central,56.9,Central,Commerce,50.0,Others,Yes,73.43,77.7,74.1,3,1,Placed,436000.0
30,M,47.85,Central,78.73,Central,Science,69.18,Sci&Tech,No,81.52,59.9,76.0,2,1,Placed,448000.0
